,Player name,Appearances,Goals,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
81,Tudor Baluta,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
82,Patrick Bamford,84,20,25,42,20,0.24,3,2,15,2,0,161,68,42%,5,34,10,864,10.29,8,15,6,0,68,33,39,29,18,56,38,,,,,,,,,,,
83,Scott Banks,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
84,Shandon Baptiste,34,1,9,15,1,0.03,0,0,1,0,0,14,5,36%,0,0,0,476,14.00,2,13,31%,2,17,1,1,12,2,21,43%,6,16,18,11,94,76,77,23,10,24,0
85,Ross Barkley,232,29,102,71,29,0.13,4,17,8,2,2,458,134,29%,12,30,28,"8,533",36.78,39,390,24%,60,506,18,0,169,24,178,71%,159,82,114,88,842,"1,063","1,152",412,197,192,2
86,Harvey Barnes,125,28,54,46,28,0.22,0,19,9,0,0,256,104,41%,1,27,24,"2,625",21.00,18,152,12%,18,46,2,0,74,18,87,57%,74,26,26,11,350,438,575,153,95,147,0
87,Louie Barry,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
88,Ryan Bartley,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
89,Lewis Bate,3,0,1,2,0,0.00,0,0,0,0,0,1,0,0%,0,0,0,61,20.33,0,0,0%,0,3,0,0,3,0,1,0%,0,1,1,1,8,3,19,1,0,2,0
90,Michy Batshuayi,77,15,41,26,15,0.19,1,8,6,0,0,84,31,37%,1,12,4,584,7.58,2,8,0,0,36,40,18,24,10,10,8,,,,,,,,,,,
91,Nathan Baxter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,,,,,,,,,,
92,Gavin Bazunu,15,1,3,9,38,0,8,16,1,8,70,108,1,27,0,0,0,0,0,0,0,514,34.27,134,,,,,,,,,,,,,,,,,
93,Mads Bech Sørensen,14,0,6,5,2,14,8,88%,0,2,7,25,8,0,41,22,14,0,10,4,0,0,0,438,31.29,0,10,30%,0,20,3,0,8,0,0,0,0,0,0,,
94,Owen Beck,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
95,Jan Bednarek,135,7,42,60,27,217,186,56%,2,7,314,668,339,4,716,642,440,9,404,221,3,3,3,"6,199",45.92,4,3,33%,3,315,27,1,118,1,7,3,2,2,0,,
96,Asmir Begovic,256,63,82,106,765,3,91,400,138,181,"1,029","2,352",63,357,27,0,12,0,5,1,0,"5,595",21.86,"1,970",,,,,,,,,,,,,,,,,
97,Armel Bella-Kotchap,11,0,2,7,0,19,18,33%,2,1,26,53,27,1,75,60,22,2,24,12,0,0,1,414,37.64,1,3,0%,0,23,1,0,4,0,0,0,0,0,0,,
98,Héctor Bellerín,183,8,99,47,59,189,242,76%,1,38,239,334,163,3,815,685,797,207,189,243,1,1,20,"8,141",44.49,32,434,17%,32,162,30,0,143,9,8,0,5,3,3,,
99,Ben Woodburn,6,0,5,1,0,0.00,0,0,0,0,0,2,0,0%,0,0,0,40,6.67,0,5,20%,0,0,0,0,2,0,4,75%,2,0,0,0,6,7,12,1,1,3,0
100,Filip Benkovic,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
101,J'Neil Bennett,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
102,Saïd Benrahma,75,11,32,29,11,0.15,1,10,0,1,0,127,43,34%,4,8,13,"1,508",20.11,11,144,0,0,26,14,60,40,20,14,3,,,,,,,,,,,
103,Rodrigo Bentancur,31,4,19,9,4,0.13,0,3,1,0,0,26,9,35%,0,1,6,"1,691",54.55,6,25,28%,7,61,10,0,42,0,72,54%,7,38,46,25,192,155,136,32,33,28,0
104,Christian Benteke,280,86,87,129,86,0.31,33,41,12,10,1,654,255,39%,20,95,22,"6,539",23.35,33,39,39,4,408,227,98,134,32,286,209,,,,,,,,,,,
105,Lucas Bergström,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,,,,,,,,,,,,,,,,,
106,Steven Bergwijn,60,7,33,17,7,0.12,0,7,0,0,0,43,20,47%,1,8,5,825,13.75,2,31,6,0,36,2,28,8,7,19,2,,,,,,,,,,,
107,Di'Shon Bernard,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
108,Bernardo Silva,180,31,138,22,31,0.17,2,3,26,0,0,228,89,39%,6,25,33,"7,950",44.17,40,310,18%,21,258,20,0,119,15,220,58%,74,103,70,21,690,628,708,227,50,114,0
109,Ryan Bertrand,262,7,92,109,67,351,401,66%,2,34,362,434,207,4,990,"1,115","1,016",106,353,373,0,1,16,"10,013",38.22,30,904,21%,9,332,36,2,241,13,7,1,2,4,3,,
110,Marcus Bettinelli,7,0,1,4,20,1,8,1,1,5,32,67,0,20,0,0,1,0,0,0,0,211,30.14,66,,,,,,,,,,,,,,,,,
111,Owen Bevan,1,0,0,1,0,1,0,0%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,
