,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
81,61.0,0.86,0.86,0.61,0.12,50.0,0.12,0.18,16.77,0.74,74.0,2.76,5.71,0.18,0.55,0.0,67.0,55.78,91.0,1.64,0.06,0.25,25.0,0.0,29.0,0.09,0.0,0.04
82,47.0,2.4,2.4,0.8,0.44,50.0,0.51,0.28,17.71,0.94,50.0,3.63,4.21,0.07,0.29,0.0,46.0,55.6,79.0,1.78,0.22,0.58,38.0,0.51,35.0,0.16,0.0,0.1
83,55.0,1.29,1.58,0.72,0.43,55.0,0.14,0.42,25.59,3.02,77.0,2.3,3.16,0.14,0.14,0.0,63.0,61.25,88.0,1.71,0.14,0.43,33.0,0.0,29.0,0.07,0.0,0.28
84,34.0,3.8,0.95,1.63,0.27,20.0,0.27,0.29,15.72,1.08,67.0,2.44,1.63,0.14,0.0,0.0,33.0,32.94,84.0,2.5,0.41,1.63,25.0,1.22,53.0,0.45,0.27,0.12
85,48.0,1.08,1.24,0.0,0.0,53.0,0.15,0.16,23.55,1.7,75.0,3.41,3.25,0.31,0.0,0.0,50.0,64.13,90.0,1.87,0.0,0.0,0.0,0.0,25.0,0.03,0.0,0.0
86,31.0,1.39,0.28,0.97,0.0,17.0,0.69,0.5,18.03,2.77,46.0,2.5,1.39,0.0,0.0,0.0,33.0,30.23,83.0,2.87,0.14,0.55,25.0,0.0,23.0,0.13,0.0,0.15
87,75.0,1.33,4.56,1.14,0.1,77.0,0.0,0.02,8.65,0.19,100.0,3.99,8.17,0.19,0.38,0.0,74.0,75.93,90.0,2.54,0.1,0.19,50.0,0.0,75.0,0.09,0.0,0.1
88,0.0,0.17,0.5,0.0,0.0,75.0,0.0,0.0,2.19,0.0,0.0,0.17,3.7,0.0,0.0,0.0,0.0,29.61,85.0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,57.0,1.27,1.27,1.27,0.09,50.0,0.18,0.13,11.56,0.82,70.0,2.55,4.0,0.0,0.27,0.0,68.0,35.76,86.0,1.74,0.27,0.36,75.0,0.73,62.0,0.15,0.09,0.17
90,80.0,1.51,5.83,1.51,0.65,79.0,0.0,0.0,14.68,0.0,100.0,1.94,5.61,0.0,0.22,0.22,89.0,80.72,95.0,2.8,0.0,0.43,0.0,0.0,0.0,0.05,0.0,0.0
91,42.0,1.45,2.17,0.0,0.0,60.0,0.58,0.73,24.2,2.46,43.0,1.88,1.88,0.0,0.14,0.0,31.0,44.49,79.0,1.39,0.29,1.16,25.0,1.01,54.0,0.51,0.0,0.08
92,64.0,0.99,0.99,1.32,0.17,50.0,0.0,0.18,18.51,3.39,69.0,4.3,5.04,0.17,0.17,0.0,71.0,41.07,79.0,1.74,0.0,0.33,0.0,0.58,47.0,0.06,0.0,0.0
93,72.0,0.99,3.17,0.28,0.07,76.0,0.0,0.03,10.37,0.14,64.0,1.62,4.8,0.49,0.56,0.0,83.0,62.21,87.0,1.41,0.0,0.28,0.0,0.0,0.0,0.07,0.0,0.0
94,45.0,0.69,0.31,1.15,0.38,31.0,0.31,0.25,22.27,0.84,65.0,2.84,1.46,0.08,0.0,0.0,41.0,43.31,79.0,1.96,0.54,1.38,39.0,1.08,37.0,0.24,0.0,0.17
95,59.0,0.53,0.88,1.67,0.35,63.0,0.09,0.19,15.37,0.35,58.0,3.69,3.78,0.18,0.26,0.0,71.0,36.79,88.0,2.06,0.18,0.53,33.0,0.0,43.0,0.12,0.0,0.12
96,73.0,0.68,2.15,0.34,0.11,76.0,0.23,0.19,14.25,0.57,88.0,1.47,3.17,0.11,0.23,0.0,77.0,71.68,95.0,2.31,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
97,43.0,6.21,5.55,1.16,0.33,47.0,0.0,0.21,9.11,0.25,65.0,1.32,1.9,0.0,0.17,0.0,44.0,20.29,65.0,1.15,0.75,2.15,35.0,1.82,44.0,0.74,0.25,0.08
98,35.0,1.23,0.22,0.87,0.22,15.0,0.14,0.19,11.14,0.8,53.0,2.03,1.23,0.07,0.0,0.0,57.0,24.82,81.0,1.99,0.43,1.01,43.0,1.09,43.0,0.39,0.0,0.08
99,38.0,1.39,0.16,0.57,0.0,11.0,0.25,0.35,17.54,1.31,64.0,1.64,1.48,0.16,0.08,0.0,35.0,28.69,75.0,1.95,0.25,2.05,12.0,1.64,57.0,0.35,0.0,0.06
