Player name,Appearances,Goals overview,Wins,Losses,Goals,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Isak Hansen-Aaröen,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Luke Harris,2,0,1,1,0,2,0,0,0,0,0,0,0,0%,0,0,0,6,3,0,1,1%,0,0,0,0,1,0,0,0%,0,0,0,0,0,0,1,0,0,0,0
Jack Harrison,84,17,28,39,17,0.2,0,8,9,0,0,99,41,41%,2,8,12,"2,197",26.15,18,375,17%,11,60,7,0,71,17,137,60%,25,40,40,14,387,361,545,114,48,113,0
Kai Havertz,69,15,33,19,15,0.22,5,2,8,0,0,111,50,45%,2,24,6,"1,701",24.65,4,23,17%,5,21,8,0,89,31,51,47%,23,8,64,50,162,237,361,44,94,111,1
Maxwell Haygarth,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,408,33,223,90,33,0.08,1,24,8,1,2,397,109,27%,11,19,52,"22,340",54.75,61,881,23%,145,"1,400",37,2,332,32,738,70%,113,502,377,150,"2,316","1,328","1,362",161,277,264,1
Jeff Hendrick,147,12,49,67,12,0.08,1,10,1,0,0,108,27,25%,0,7,6,"3,577",24.33,7,100,21%,10,155,20,2,112,36,100,54%,40,98,107,51,570,386,591,90,107,172,0
Yangel Herrera,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Jack Hinchy,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
George Hirst,2,0,0,2,0,2,0,0,0,0,0,3,1,33%,0,0,0,5,2.5,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,2,5,2,0,3,1,0
Joseph Hodge,3,0,1,2,0,3,0,0,0,0,0,1,0,1%,0,0,0,42,14,0,0,0%,0,0,1,0,2,0,3,33%,1,0,0,0,4,3,5,0,0,0,0
Conor Hourihane,31,4,9,15,4,0.13,0,1,3,0,1,34,12,35%,1,1,6,745,24.03,10,139,23%,1,24,4,0,15,4,16,63%,13,9,28,10,83,55,51,4,15,9,0
Callum Hudson-Odoi,72,4,37,18,4,0.06,0,4,0,0,0,70,21,30%,2,5,11,"1,565",21.74,15,177,25%,1,70,2,0,33,15,55,64%,32,16,14,4,145,183,206,75,9,30,0
Will Hughes,101,5,32,49,5,0.05,0,1,4,0,0,78,16,21%,0,5,9,"2,753",27.26,9,137,22%,7,54,20,0,146,2,215,58%,29,85,64,26,436,498,495,66,62,109,0
Omari Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Pierre-Emile Højbjerg,197,11,82,73,11,0.06,0,9,2,0,0,203,64,32%,5,11,12,"11,946",60.64,14,118,31%,34,617,33,2,251,2,434,60%,49,291,262,143,"1,598","1,065",977,170,221,171,2
Bradley Ibrahim,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Tim Iroegbunam,3,0,2,0,0,3,0,0,0,0,0,1,0,1%,0,0,0,27,9,0,0,0%,0,0,1,0,2,0,5,80%,0,2,1,1,9,8,2,0,3,0,0
Vitaly Janelt,46,5,15,17,5,0.11,1,0,4,0,0,35,14,40%,0,2,1,"1,381",30.02,2,50,16%,4,83,4,0,36,3,86,52%,12,42,44,22,221,193,125,20,49,37,0
Jack Jenkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
Teddy Jenks,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0
