Wilfried Stephane Singo
Daniel Vivian Moreno
Gonzalo Ariel Montiel
Koffi Djidji
Giorgio Scalvini
Iago Aspas
Giorgos Kyriakopoulos
Timothy Castagne
Borja Iglesias Quintas
Dimitri Payet
""
Luis Ezequiel Avila
Matteo Pessina
Hiroki Ito
Piero Martin Hincapie Reyna
Inigo Lekue
Martin Zubimendi Ibanez
Florian Tardieu
Timo Werner
Oliver Torres Munoz
Christopher Lenz
Marvin Friedrich
Axel Witsel
Sheraldo Becker
Mouctar Diakhaby
Benjamin Henrichs
Wesley Said
Nahuel Molina Lucero
Kevin Vogt
Chidera Ejuke
Mehmet Zeki Celik
Montassar Omar Talbi
Jean Victor Makengo
Edgar Gonzalez
Issiaga Sylla
Adama Soumaoro
Samuel Castillejo Azuaga
Christian Gunter
Zakaria Aboukhlal
Guillermo Maripan
Sead Kolasinac
Chris Fuhrich
Yann Sommer
Kevin Stoger
Ardian Ismajli
Mikel Vesga
Dejan Ljubicic
Exequiel Palacios
Lewis Ferguson
Emil Forsberg
Nicola Zalewski
Yangel Clemente Herrera Ravelo
Emiliano Martinez
Neeskens Kebano
Tim Ream
Kenny Tete
Jordan Pickford
Mattia Viti
Waldemar Anton
Mvula Jordan Lotomba
Rasmus Nissen Nissen Kristensen
Felix Uduokhai
Harry Stefano Toffolo
Edin Dzeko
Bernardo Espinosa
Alejandro Berenguer Remiro
Lukasz Fabianski
Julian Weigl
Philip Billing
Leonardo Bonucci
Christopher James Mepham
Armel Bella-Kotchap
Matias Vecino
Jacob Murphy
Jeffrey Schlupp
Michael Gregoritsch
Samuele Ricci
Lucas Silva Melo
Crysencio Jilbert Sylverio Cir Summerville
Ekambi
Nicolas Pepe
Yves Bissouma
Scott McTominay
Oriol Vidalle Romeu
Matheus Luiz Nunes
Adam David Lallana
Aritz Elustondo
Cengiz Under
Steve Mandanda
Angelino Angelino
Moises Gomez Bordonado
Ludovic Blas
Ryan James Yates
Joseph Aidoo
Vicente Guaita
Fabinho
Pablo Martin Paez Gavira
Marco Silvestri
Ellyes Skhiri
Rui Tiago Dantas da Silva
Jose Gimenez
Seamus Coleman
Mehdi Bourabia
Koke Koke
Ola Aina
Jakub Kaminski
Mathias Jensen
Maxim Leitsch
Joao Felix
Maxime Le MARCHAND
Jesus Navas
Juan Agustin Musso
Dusan Vlahovic
Oumar Gonzalez
Carlos Augusto Zopalato Neves
Christopher Trimmel
Ciprian Tatarusanu
Pierre Lees Melou
Brendan Chardonnet
Marvin Ducksch
Milos Veljkovic
Andrei Girotto
Marco Friedl
Ogochukwu Frank Onyeka
Dennis Geiger
Kerem Demirbay
Ivan Ordets
Robin Koch
Kristijan Jakic
Johann Theo Tom Lepenant
Miha Blazic
Vanja Milinkovic-Savic
Inigo Ruiz de Galarreta Etxeberria
Niklas Stark
Rayan Ait Nouri
Stijn Spierings
Rafael Ratao
Vinicius de Souza Costa
Leandro Cabrera
Jeison Murillo
Nicolas Martin Dominguez
Ndidi
Luca Kilian
Christoph Kramer
Daniel Pedro Castelo Podence
Emmanuel Elysee Djedje Agbadou Badobre
Mateusz Wieteska
Jarrod Bowen
Muhammed Cham Muhammed Cham
Nicolo Rovella
Danny Ward
Marcos Nicolas Senesi Baron
Joel Ward
Unai Simon
Walace Souza Silva
Jonny Castro
Antonee Robinson
Morgan Gibbs White
Suat Serdar
Papu Gomez
Scott Fraser McKenna
Oscar Martin Luengo
Guglielmo Vicario
Naouirou Ahamada
Youssoufa Moukoko
Jose Manuel Arias Copete
Rolando Mandragora
Illan Stephane Meslier
Nicolo Casale
James Ward Prowse
Sofiane Boufal
Domingos Andre Almeida
Elseid Hysaj
Amos Pieper
Domilson Cordeiro dos Santos
Salih Ozcan
Rodrigo Sanchez Rodriguez
Lassana Coulibaly
Tyrick Mitchell
Koray Gunter
Danilo Cataldi
Ederson da Silva
Youssouf Sabaly
Flavien Tait
Flavius David Daniliuc
Jaume Costa
Hugo Guillamon Sanmartin
Florian Lejeune
Yunus Dimoara Musah
Anthony Lopes
Benjamin Johnson
Tammy Abraham
Gian Marco Ferrari
Tommaso Augello
Hugo Mallo
Maxence Lacroix
Sandi Lovric
Oliver George Arthur Watkins
Daniel-Kofi Kyereh
Unai Nunez
Luiz Felipe
Joao Filipe Iria Santos Moutinho
Gabriel Tadeu Strefezza Rebelato
Joseph Scally
Oihan Sancet Tirapu
Lovro Majer
Matheus Henrique Henrique
Christopher Antwi-Adjei
Martin Erlic
Ko Itakura
Patrick Ciurria
Paul Jaeckel
Wissam Ben Yedder
Mario Pasalic
Tolgay Ali Arslan
Alvaro Borja Morata Martin
Marcus Ingvartsen
Dominik Kohr
Yuri Berchiche
Leonardo Bittencourt
Giovani Lo Celso
Anthony Jung
Corentin Tolisso
Amine Harit
Dan Axel Zagadou
Odsonne Edouard
Oliver Baumann
Justin Kluivert
Bafode Diakite
Vladimir Coufal
Maximilian Eggestein
Terem Igobor Moffi
Edouard Mendy
Rafal Gikiewicz
Mikkel Desler Puggaard
Zanka
Marc Oliver Kempf
Emmanuel Kouadio Kone
Adrian Embarba
Danny Welbeck
Jae-sung Lee
Manuel Sanchez Sanchez de la Pena
Lars Stindl
Gabriel Armando de Abreu
Lilian Brassier
Mory Diaw
Ryan Fredericks
Nathan Kenneth Patterson
Thibaut Courtois
Bobby Reid
Krepin Diatta
Rani Khedira
Harrison James Reed
Vincent Le Goff
Silas Katompa Mvumpa
Jakub Piotr Kiwior
Lee Kang-In
Remo Freuler
Ethan Ampadu
Christian Mathe Pulisic
Rodrigo Ely
Josuha Guilavogui
Oscar Ruido Trejo
Lewis John O'Brien
Joseph Oluwaseyi Temitope Ayodele-Aribo
Ansgar Knauff
Adam Smith
Alvaro Garcia Rivera
Lucas Gaston Robertone
Ryan Christie
Alvaro Juan Cruz Armada
Stefan Bell
Mergim Berisha
Ante Rebic
Jordan Ayew
Tyler Shaan Adams
Juanpe
Leandro Daniel Paredes
Jordan Bhekithemba Zemura
Andras Schafer
Saul Niguez Esclapez
Adama Traore Diarra
Arkadiusz Milik
Brecht Dejaegere
Dean Henderson
Norbert Gyomber
Thierno Balde
Samir Handanovic
Junya Ito
Alessandro Buongiorno
Adam Marusic
Marco Carnesecchi
Adilson Angel Abreu de Almeida Gomes
Pelenda Joshua Tunga Dasilva
Abdelhamid Sabiri
Wataru Endo
Jack David Harrison
Philipp Forster
Che Adams
Pablo Mari Villar
Erik Lamela
Lucas Chevalier
Sergio Canales
