,"CHALLENGES WON, %",AIR CHALLENGES LOST,AIR CHALLENGES WON,FOULS,YELLOW CARDS,"AIR CHALLENGES, %",ASSISTS,EXPECTED ASSISTS (XA),PASSES INTO FINAL THIRD,CROSSES,"SUCCESSFUL DRIBBLES, %",TACKLES,PASS INTERCEPTIONS,ERRORS LEADING TO GOAL,BLOCKED SHOTS,CLEARANCES,"TACKLES WON, %",PASSES,"PASS COMPLETION, %",PASSING SPEED,GOALS,BIG CHANCES,"CONVERSION OF BIG CHANCES, %",SHOTS ON TARGET,"SHOTS ON TARGET CONVERSION RATE, %",EXPECTED GOALS (XG),GOALS WITH HEAD,XG CONVERSION
181,0.88,39.18,82.0,55.0,64.0,55.0,0.61,1.01,1.55,0.07,63.0,0.0,0.09,14.54,0.27,62.0,3.77,3.37,0.13,0.13,0.0,64.0,39.18,82.0,1.34,0.07,0.2,33.0
182,2.83,7.11,73.0,77.0,0.0,73.0,1.45,4.83,0.62,0.21,77.0,0.14,0.08,5.38,0.0,80.0,2.83,7.11,0.35,1.1,0.0,76.0,47.9,89.0,1.4,0.0,0.14,0.0
183,0.72,25.0,1.01,0.0,49.0,40.0,5.93,5.79,1.59,0.29,49.0,0.43,0.33,12.3,0.14,0.0,2.17,1.88,0.0,0.0,0.0,20.0,26.05,66.0,1.37,0.72,2.89,25.0
184,0.24,52.52,93.0,70.0,75.0,70.0,0.95,2.75,0.72,0.24,74.0,0.12,0.02,4.89,0.0,100.0,1.43,5.25,0.36,0.48,0.0,75.0,52.52,93.0,2.11,0.24,0.36,67.0
185,5.03,6.92,69.0,65.0,0.0,69.0,1.1,2.05,0.47,0.16,65.0,0.0,0.1,15.1,2.52,50.0,5.03,6.92,0.0,0.31,0.0,84.0,42.48,77.0,1.36,0.0,0.0,0.0
186,1.17,32.38,75.0,49.0,30.0,49.0,1.17,0.52,0.78,0.0,31.0,0.13,0.31,16.91,2.21,65.0,1.3,1.3,0.0,0.0,0.0,30.0,32.38,75.0,2.71,0.0,1.17,0.0
187,2.17,6.66,73.0,67.0,0.0,73.0,1.2,2.47,0.3,0.0,67.0,0.0,0.05,2.84,0.0,100.0,2.17,6.66,0.45,0.22,0.0,76.0,62.47,93.0,1.75,0.15,0.45,33.0
188,0.24,46.37,90.0,56.0,46.0,56.0,1.1,1.49,1.18,0.16,58.0,0.0,0.01,8.71,0.08,0.0,5.1,4.71,0.08,0.24,0.0,46.0,46.37,90.0,1.16,0.0,0.24,0.0
189,2.63,6.83,71.0,70.0,0.0,71.0,1.26,2.94,1.58,0.21,70.0,0.0,0.0,4.94,0.0,100.0,2.63,6.83,0.0,0.21,0.0,76.0,38.69,85.0,1.51,0.0,0.0,0.0
190,4.09,6.48,67.0,72.0,0.0,67.0,1.99,5.08,1.1,0.3,72.0,0.0,0.0,4.39,0.1,0.0,4.09,6.48,0.3,0.3,0.0,56.0,39.57,83.0,0.95,0.0,0.3,0.0
191,4.54,6.27,64.0,67.0,0.0,64.0,1.08,2.16,0.72,0.0,67.0,0.07,0.25,18.09,2.45,75.0,4.54,6.27,0.43,0.22,0.0,67.0,52.39,81.0,1.6,0.0,0.36,20.0
192,0.45,36.24,83.0,38.0,39.0,38.0,0.91,0.68,1.06,0.15,43.0,0.15,0.11,13.27,1.21,47.0,4.47,4.55,0.15,0.38,0.0,39.0,36.24,83.0,1.46,0.08,0.38,20.0
193,1.71,54.68,88.0,41.0,55.0,41.0,1.37,0.57,0.91,0.23,29.0,0.11,0.36,26.54,1.03,47.0,2.51,1.94,0.0,0.11,0.0,55.0,54.68,88.0,2.61,0.0,0.91,0.0
194,3.26,5.74,64.0,77.0,0.0,64.0,0.86,2.83,0.86,0.26,77.0,0.09,0.04,4.46,0.09,83.0,3.26,5.74,0.43,0.43,0.0,63.0,51.51,89.0,1.74,0.0,0.09,0.0
195,2.36,6.43,53.0,50.0,0.0,53.0,1.07,1.07,0.43,0.0,50.0,0.0,0.06,21.0,1.29,33.0,2.36,6.43,0.0,0.21,0.0,45.0,51.0,82.0,3.39,0.0,0.0,0.0
196,5.57,5.99,51.0,60.0,0.0,51.0,0.83,1.24,1.03,0.21,60.0,0.0,0.19,21.88,1.03,55.0,5.57,5.99,0.0,0.62,0.0,56.0,69.77,90.0,3.0,0.21,0.41,50.0
197,4.11,5.98,57.0,60.0,0.0,57.0,1.25,1.87,0.87,0.0,60.0,0.12,0.23,14.71,0.87,80.0,4.11,5.98,0.25,0.12,0.0,55.0,65.44,89.0,2.16,0.0,0.25,0.0
