Player name,Appearances,Goals,Wins,Losses,Goals.1,Goals per match,Headed goals,Goals with right foot,Goals with left foot,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Hit woodwork,Big chances missed,Assists,Passes,Passes per match,Big chances created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Tackles,Tackle success %,Blocked shots,Interceptions,Clearances,Headed clearances,Recoveries,Duels won,Duels lost,Succesful 50/50s,Aerial battles won,Aerial battles lost,Errors leading to goal
Charlie Allen,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0%,0.0,0,0.0,0.0,0,0,0.0,0%,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
Dele Alli,194,51,103,53,51,0.26,9,32,10,3,0,337,134,40%,8,40,34,"6,211",32.02,48,92,14%,72.0,182,28.0,0.0,209,36,275.0,64%,87.0,146.0,124.0,71.0,864,937,"1,247",211.0,145.0,214.0,1.0
Miguel Almirón,125,17,44,46,17,0.14,0,3,14,0,0,177,60,34%,7,17,4,"2,860",22.88,9,138,21%,6.0,81,10.0,0.0,80,49,200.0,62%,64.0,86.0,53.0,18.0,575,513,494,133.0,28.0,71.0,1.0
Marcos Alonso,179,26,106,39,63,164.0,342,66%,0,90,265,440,226,1,"1,018",979,803,113,349,255,0,1,16.0,"7,959",44.46,26.0,600,19%,10.0,267,35.0,1.0,162.0,21.0,26,4,3,19.0,13.0,,
Julián Álvarez,12,3,10,2,3,0.25,0,2,1,0,0,11,6,55%,1,2,0,114,9.50,1,5,0,0.0,6,1.0,7.0,3,0,1.0,1,,,,,,,,,,,
Álvaro Fernández,12,1,3,7,49,0.0,4,8,4,4,60,83,1,24,1,1,0,0,0,0,0,456,38.0,80,,,,,,,,,,,,,,,,,
William Alves,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0.00,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,,,,,,,,,,,
Steven Alzate,43,1,10,18,1,0.02,0,1,0,0,0,21,6,29%,0,1,0,"1,272",29.58,1,11,36%,2.0,47,3.0,0.0,43,4,60.0,52%,10.0,32.0,28.0,19.0,160,157,162,49.0,20.0,37.0,0.0
Daniel Amartey,98,2,39,39,18,118.0,118,57%,3,4,90,223,129,1,514,294,276,17,130,123,0,0,1.0,"4,099",41.83,1.0,7,14%,2.0,163,12.0,1.0,62.0,2.0,2,2,0,0.0,0.0,,
Ethan Ampadu,26,0,5,20,2,42.0,58,64%,0,1,49,85,36,0,114,149,88,13,53,31,1,1,0.0,"1,025",39.42,2.0,19,32%,0.0,57,3.0,0.0,25.0,1.0,0,0,0,0.0,0.0,,
Joachim Andersen,78,2,20,27,23,88.0,79,59%,1,4,94,365,199,1,402,318,224,19,188,103,1,2,4.0,"5,156",66.1,3.0,24,13%,4.0,520,13.0,1.0,72.0,2.0,2,1,1,0.0,1.0,,
Joseph Anderson,0,0,0,0,0,0.0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0%,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,,
Florin Andone,26,4,5,14,4,0.15,2,2,0,0,0,20,9,45%,0,3,0,177,6.81,0,5,5,1.0,30,4.0,11.0,6,3,13.0,6,,,,,,,,,,,
André Gomes,88,1,34,36,1,0.01,0,1,0,0,0,54,12,22%,0,2,4,"3,203",36.40,4,57,26%,6.0,250,19.0,0.0,146,2,112.0,58%,17.0,38.0,41.0,23.0,479,366,545,108.0,83.0,67.0,0.0
Andreas Pereira,60,4,26,19,4,0.07,0,2,2,1,0,64,24,38%,0,2,8,"1,487",24.78,12,180,29%,3.0,66,13.0,0.0,59,6,44.0,59%,20.0,24.0,15.0,4.0,199,138,285,38.0,18.0,61.0,1.0
